Associate_id,AssocFirstName,AssocLastName,AssocMiddleInitial,AssocSuffix,AssocDOB,TenureDate
1,Dari,Aulsford,T,II,7/5/1977,9/3/2001
2,Eileen,Blythin,Z,III,5/2/1967,3/7/2000
3,Simon,Andryushin,G,Jr,5/30/1977,3/18/2003
4,Tabbie,Madre,J,III,11/1/1968,1/14/2000
5,Fredric,Bradneck,I,IV,8/8/1972,2/9/2002
6,Gray,Butten,D,Jr,10/12/1961,4/8/2003
7,Merline,Henrichsen,Y,II,3/18/1968,3/8/2002
8,Maribelle,Abrey,B,Jr,5/31/1967,4/1/2002
9,Dario,Magson,P,Sr,9/2/1970,1/18/2002
10,Mikel,Carus,U,Jr,5/6/1970,5/23/2004
11,Karyn,Mackley,O,IV,5/30/1971,1/1/2002
12,Dacy,Pohl,K,IV,6/22/1976,2/13/2000
13,Ned,Allon,L,III,3/18/1973,12/27/2001
14,Lester,Guitte,U,Jr,1/6/1970,6/22/2003
15,Sebastien,Bradnam,Y,II,7/24/1972,4/24/2003
16,Allyn,Gantlett,J,Jr,2/17/1979,12/29/2002
17,Stephen,Newens,E,Jr,5/12/1962,8/19/2002
18,Nevil,Shelly,Z,III,4/24/1968,3/24/2002
19,Latrena,Etridge,T,Sr,9/29/1972,10/10/2001
20,Tirrell,Langstaff,I,II,5/3/1976,2/1/2001
21,Gannon,Couzens,X,IV,4/19/1972,6/11/2001
22,Jarad,Blenkiron,U,III,4/6/1974,7/20/2002
23,Quintilla,Boldra,O,III,10/20/1968,6/17/2002
24,Sylvan,Plows,S,Sr,6/13/1973,10/24/2001
25,Kristien,Walklot,X,Jr,2/16/1979,6/16/2003
26,Oliver,Daubney,U,II,3/3/1970,1/25/2001
27,Hesther,Leathers,K,Jr,6/5/1967,10/26/2002
28,Marje,Earengey,R,Sr,12/18/1965,10/15/2003
29,Aarika,Wife,T,III,12/9/1977,1/7/2000
30,Susanetta,Henrie,C,III,3/22/1961,1/27/2000
31,Hasty,Noni,G,III,7/14/1963,1/13/2003
32,Cob,Roskeilly,Q,Jr,11/21/1979,11/23/2004
33,Merry,Wilden,F,IV,8/5/1965,8/7/2001
34,Pepillo,Finnimore,I,III,4/18/1964,7/20/2003
35,Emory,Hobbert,R,IV,4/6/1964,1/6/2001
36,Tabb,Gronowe,R,IV,6/4/1975,11/26/2002
37,Josias,Ronca,Z,IV,7/31/1972,7/16/2000
38,Cece,Galer,I,Sr,3/5/1964,5/21/2000
39,Oralia,Scatchar,O,Jr,1/20/1962,7/22/2000
40,Buiron,MacNess,F,Jr,9/15/1973,8/13/2000
41,Phillipp,Wakeham,G,IV,11/18/1960,12/16/2000
42,Ronald,Duncanson,O,Jr,6/29/1964,11/4/2001
43,Leonhard,Duchan,O,Jr,6/16/1962,2/24/2000
44,Julius,Schirak,H,II,10/30/1964,6/24/2001
45,Abigale,Crust,T,II,11/14/1975,5/19/2002
46,Debera,Bouette,R,II,12/12/1967,3/30/2004
47,Starr,Cardello,A,Sr,12/2/1969,9/7/2002
48,Brigid,Trengrove,B,III,1/23/1976,8/31/2000
49,Bernadene,Whyffen,J,IV,7/17/1974,3/21/2002
50,Ingeberg,Seston,X,IV,11/1/1964,2/2/2001
51,Bliss,Sweating,C,III,12/30/1972,11/27/2001
52,Riane,Maun,X,Sr,11/6/1966,4/24/2000
53,Maybelle,Billitteri,I,Sr,6/25/1969,4/4/2001
54,Arlina,Iacovini,L,Sr,4/28/1978,8/14/2004
55,Cher,Audrey,Z,IV,2/11/1979,6/11/2002
56,Stormy,Bee,T,Jr,11/3/1972,7/7/2004
57,Antonino,Tovey,K,IV,6/4/1974,3/10/2000
58,Harli,Lanon,Z,IV,7/24/1962,5/12/2004
59,Brooke,Plues,G,II,5/14/1964,11/21/2001
60,Trev,Brophy,G,III,8/16/1973,3/6/2004
61,Ursulina,McAlinden,O,Sr,10/19/1978,7/1/2002
62,Mariele,Grastye,T,Jr,3/13/1978,2/28/2004
63,Kori,Lewzey,O,II,3/3/1979,9/8/2004
64,Rory,Sandbatch,E,Jr,12/26/1977,9/9/2001
65,Alyda,Guillart,H,Sr,4/10/1962,10/17/2000
66,Gaye,Stouther,N,Jr,2/6/1965,2/18/2000
67,Dasie,Londer,A,Sr,8/30/1974,9/18/2003
68,Cathie,Nicely,J,III,1/12/1963,11/21/2000
69,Rosana,Valdes,Y,III,9/26/1968,6/4/2000
70,Yance,Rainbird,J,Jr,8/13/1973,2/6/2004
71,Ernaline,Agett,G,Jr,10/3/1961,8/8/2001
72,Jany,Beste,C,II,8/5/1978,5/7/2000
73,Jermain,Gruszecki,U,III,8/17/1971,8/1/2002
74,Wade,Meekings,G,II,5/13/1964,3/28/2004
75,Kev,MacDunleavy,I,II,9/2/1978,7/30/2002
76,Ethelda,Alyokhin,I,IV,8/11/1960,12/15/2003
77,Petra,Thomas,F,III,6/23/1976,5/27/2002
78,Joscelin,Keizman,F,Jr,6/28/1968,9/27/2002
79,Bjorn,Carswell,G,III,11/17/1971,3/29/2001
80,Celestine,Ekins,B,Sr,11/9/1969,10/5/2003
81,Berkly,Bryson,Z,III,12/20/1961,7/10/2003
82,Candy,Croxon,Z,II,10/14/1978,4/3/2000
83,Aloin,Bricksey,F,II,5/2/1966,5/14/2002
84,Ailee,Cardenosa,J,IV,9/14/1978,9/24/2003
85,Lincoln,Glyde,P,III,5/27/1960,1/12/2002
86,Claybourne,Wincer,D,Jr,7/19/1977,11/10/2001
87,Kinsley,Gutsell,L,IV,8/7/1977,1/4/2000
