BillingAccount_id,BAcctName,BAcctName2,Address1,Address2,City,State,Zip
1,MMX-2501,JBZ-6675,456 Elm Avenue,Apt 48,Pyatnitskoye,,56697
2,TJK-7775,LZY-7546,123 Main Street,PO Box 93262,Napuro,,85674
3,CYU-2079,PSY-6747,987 Pine Road,11th Floor,Praia Grande,,47786
4,HUR-5243,FIF-5157,789 Oak Lane,Suite 36,Dongxiang,,24461
5,GIP-0055,UXQ-8973,987 Pine Road,Suite 11,Mysiadło,,75497
6,YMB-0494,CHE-6768,321 Maple Drive,7th Floor,Ystad,Skåne,00506
7,TRH-6339,DGU-6419,123 Main Street,PO Box 38056,Dongshentou,,60916
8,FCK-4867,MYZ-9021,123 Main Street,10th Floor,Novodmitriyevskaya,,19928
9,SXL-1459,RTS-0025,321 Maple Drive,PO Box 35100,Luozhou,,14119
10,GOG-2330,EEA-8254,456 Elm Avenue,3rd Floor,Huanglong,,80452
11,JCA-6127,KWU-5538,321 Maple Drive,18th Floor,Sanli,,95461
12,DWF-5423,MFU-4853,456 Elm Avenue,Room 567,Panjāb,,93026
13,WDC-3574,XEL-0957,123 Main Street,10th Floor,Toulouse,Midi-Pyrénées,48595
14,TGQ-0760,YOA-3812,789 Oak Lane,9th Floor,Escada,,99194
15,LCQ-5484,HTM-1702,789 Oak Lane,Apt 1199,Cisoka,,72325
16,BYM-1391,KVV-9824,987 Pine Road,Suite 52,Tqibuli,,99471
17,IYI-8536,NTQ-9745,987 Pine Road,PO Box 66027,Taboão da Serra,,67352
18,BLL-7022,JTT-8193,456 Elm Avenue,9th Floor,Xihe,,74171
19,NKS-2011,TCA-8747,321 Maple Drive,Suite 96,Kapuskasing,Ontario,25803
20,WYK-3289,PRQ-8847,789 Oak Lane,Apt 1962,Dimitrovgrad,,66942
21,MTH-7785,VVI-9665,987 Pine Road,20th Floor,Yayao,,06802
22,DYC-2214,RYE-2447,789 Oak Lane,Suite 65,Plaisir,Île-de-France,45148
23,TJR-2953,KRR-3796,123 Main Street,PO Box 47956,Newmarket on Fergus,,39530
24,EAW-5012,GBG-3178,987 Pine Road,3rd Floor,Yongfeng,,38815
25,WUY-5674,ESI-5363,123 Main Street,Suite 35,La Guadalupe,Oaxaca,88362
26,JED-3562,PKN-0905,456 Elm Avenue,Suite 100,Lowotukan,,78745
27,JVM-4406,MJO-1898,321 Maple Drive,6th Floor,Arasji,,07517
28,SOD-5137,OSG-1689,456 Elm Avenue,PO Box 70227,Bo Phloi,,34930
29,BTD-0940,SJN-8889,789 Oak Lane,Apt 1093,Paradela,Bragança,20525
30,MMF-8589,QOT-6372,987 Pine Road,Suite 89,Laszki,,55912
31,MOI-5093,RTY-2286,321 Maple Drive,Suite 62,Ábidos,,68867
32,ZKS-7285,LZH-1134,123 Main Street,PO Box 8486,Shangjin,,03451
33,VEL-7133,QKU-4347,789 Oak Lane,Room 528,Ključ,,03196
34,YKV-2391,QCU-5226,987 Pine Road,PO Box 16107,Oslo,Oslo,39739
35,YMD-4970,KKO-5857,789 Oak Lane,Room 1000,Stupino,,35954
36,UKZ-5971,XFC-2616,987 Pine Road,Apt 1808,Novyye Cherëmushki,,94447
37,YFC-9045,PQK-8969,123 Main Street,Suite 85,Buchou,,73514
